"u_account","u_account.name","u_account.u_number","acv","acv_usd","annual_list_value","annual_list_value_usd","contract","notes","product_price","quantity","sales_price","product_price.product.u_family_3","product_price.product.u_family_2","number"
"Unicred Do Brasil","Unicred Do Brasil","ACCT0033531","441,600","81,395.25","554,760","138,000","CON5000035","","Now Platform App Engine Standard - Platform User (BRL)","460","80","App Engine Standard","App Engine - Legacy","CLI0165076"
"UMass Medical School","UMass Medical School","ACCT0035762","2,376","2,376","2,376","2,376","CON0037995","","I2 Now Platform® App Engine - Fulfiller User (USD)","5","39.6","App Engine Professional","App Engine","CLI0204739"
"UMass Medical School","UMass Medical School","ACCT0035762","0","0","0","0","CON0037995","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","3","0","App Engine Professional","App Engine","CLI0204745"
"Ultradent","Ultradent","ACCT0000993","33,222","33,222","88,200","88,200","13712TR","","App Engine - Fulfiller   (USD)","49","56.5","App Engine Fulfiller","Now Platform App Engine","CLI0203190"
"UK Power Networks Operations Ltd","UK Power Networks Operations Ltd","ACCT0016688","41,176.8","56,952.86","95,760","126,000","BV-16314PIIT","","App Engine - Fulfiller   (GBP)","70","49.02","App Engine Fulfiller","Now Platform App Engine","CLI0212274"
"UCOT Corp","UCOT Corp","ACCT0146698","28,080,000","272,408.63","108,000,000","900,000","CON1205926","","Now Platform App Engine Professional - Unrestricted User (JPY)","5,000","468","App Engine Professional","App Engine - Legacy","CLI0145403"
"UCare Minnesota","UCare Minnesota","ACCT0000706","24,000","24,000","30,000","30,000","23114DK","","Now Platform App Engine Standard - Platform User (USD)","100","20","App Engine Standard","App Engine - Legacy","CLI0110264"
"UC Davis Health","UC Davis Health","ACCT0012143","26,956.8","26,956.8","0","0","CON009140UC - UCDH","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","2,246.4","App Engine Professional","App Engine","CLI0174965"
"UBS Group AG","UBS Group AG","ACCT0000850","0","0","3,780,000","3,780,000","06007TM-FNSV-CH","","Now Platform App Engine Starter - Unrestricted User (USD)","105,000","0","App Engine Starter","App Engine - Legacy","CLI0206354"
"U GIE IRIS","U GIE IRIS","ACCT0033282","1,500","1,816.8","2,670","3,000","CON0063692","","Now Platform App Engine Standard - Platform User (EUR)","10","12.5","App Engine Standard","App Engine - Legacy","CLI0122487"
"TX Group AG","TX Group AG","ACCT0011387","6,516","7,200.52","8,148","8,400","CON0890971","","Now Platform App Engine Starter - Platform User (CHF)","100","5.43","App Engine Starter","App Engine - Legacy","CLI0125744"
"Twilio Inc","Twilio Inc","ACCT0026335","47,376","47,376","75,600","75,600","CON1093859","","App Engine - Fulfiller   (USD)","42","94","App Engine Fulfiller","Now Platform App Engine","CLI0194405"
"TWC Product And Technology LLC","TWC Product And Technology LLC","ACCT0015654","29,109.6","29,109.6","0","0","03811TM-TWC","","Now Platform® App Engine for IT Service Management - Module (USD)","1","2,425.8","App Engine ITSM","Now Platform App Engine","CLI0152263"
"TWC Product And Technology LLC","TWC Product And Technology LLC","ACCT0015654","12,129.6","12,129.6","0","0","03811TM-TWC","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","1,010.8","App Engine CSM","Now Platform App Engine","CLI0152264"
"Turkiye Sise Ve Cam Fabrikalar AS","Turkiye Sise Ve Cam Fabrikalar AS","ACCT0040023","2,310","2,310","4,200","4,200","CON1309746","","Now Platform App Engine Starter - Platform User (USD)","50","3.85","App Engine Starter","App Engine - Legacy","CLI0161477"
"Tufts Associated Health Plans, Inc.","Tufts Associated Health Plans, Inc.","ACCT0005951","42,000","42,000","67,200","67,200","34513KM","","Now Platform App Engine Starter + - Platform User (USD)","350","10","App Engine Starter","App Engine - Legacy","CLI0138388"
"TTI Group","TTI Group","ACCT0077915","19,308","19,308","0","0","CON0633107","","Now Platform® App Engine for IT Service Management - Module (USD)","1","1,609","App Engine ITSM","Now Platform App Engine","CLI0157001"
"TSX Inc.","TSX Inc.","ACCT0005534","36,000","28,257.92","70,740","54,000","CON0081492","","App Engine - Fulfiller   (CAD)","30","100","App Engine Fulfiller","Now Platform App Engine","CLI0159574"
"Trivium Packaging BV","Trivium Packaging BV","ACCT0149322","34,992","42,487.29","64,080","72,000","CON1244932","","App Engine - Fulfiller   (EUR)","40","72.9","App Engine Fulfiller","Now Platform App Engine","CLI0192323"
"TriMedx Holdings LLC","TriMedx Holdings LLC","ACCT0076294","532,140","532,140","630,000","630,000","CON0099466-ADDL","","Now Platform App Engine Professional - Unrestricted User (USD)","3,500","12.67","App Engine Professional","App Engine - Legacy","CLI0121987"
"TridentUSA Health Services LLC","TridentUSA Health Services LLC","ACCT0027171","19,807.2","19,807.2","0","0","CON0058929","","Now Platform® App Engine for IT Service Management - Module (USD)","1","1,650.6","App Engine ITSM","Now Platform App Engine","CLI0157916"
"Transport For NSW","Transport For NSW","ACCT0066759","144,278.4","109,635.44","889,200","684,000","CON0080786","","App Engine - Fulfiller   (AUD)","380","31.64","App Engine Fulfiller","Now Platform App Engine","CLI0191494"
"Transmissora Alianca De Energia Eletrica SA TAESA","Transmissora Alianca De Energia Eletrica SA TAESA","ACCT0087720","83,160","15,682.42","85,635","16,500","CON0567136","","Now Platform App Engine Standard - Platform User (BRL)","55","126","App Engine Standard","App Engine - Legacy","CLI0122154"
"Transamerica Life Insurance Co","Transamerica Life Insurance Co","ACCT0052485","7,500","7,500","7,500","7,500","CON1106861","","Now Platform App Engine Standard - Platform User (USD)","25","25","App Engine Standard","App Engine - Legacy","CLI0105370"
"Tractor Supply Co","Tractor Supply Co","ACCT0003122","23,760","23,760","79,200","79,200","CON0065980","","App Engine - Fulfiller   (USD)","44","45","App Engine Fulfiller","Now Platform App Engine","CLI0170497"
"Toyota Tsusho Corp","Toyota Tsusho Corp","ACCT0031666","6,868,800","61,994.21","0","0","CON1141481","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","572,400","App Engine ITSM","Now Platform App Engine","CLI0194252"
"Toyota Motor Sales USA Inc","Toyota Motor Sales USA Inc","ACCT0000114","6,900","6,900","207,000","207,000","17613TN-TCAR","","App Engine - Fulfiller   (USD)","115","5","App Engine Fulfiller","Now Platform App Engine","CLI0176152"
"Toyota Motor Manufacturing Canada Inc","Toyota Motor Manufacturing Canada Inc","ACCT0006727","59,133.6","47,952.69","141,480","108,000","14212RS","","App Engine - Fulfiller   (CAD)","60","82.13","App Engine Fulfiller","Now Platform App Engine","CLI0209085"
"Toyota Motor Corp","Toyota Motor Corp","ACCT0035723","32,400,000","297,923.79","0","0","BV-00815AM","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","2,700,000","App Engine ITSM","Now Platform App Engine","CLI0190555"
"Toyota Material Handling Inc","Toyota Material Handling Inc","ACCT0152178","1,800","1,800","3,600","3,600","CON5004220","","App Engine - Fulfiller   (USD)","2","75","App Engine Fulfiller","Now Platform App Engine","CLI0180291"
"Toyota Industries Corp","Toyota Industries Corp","ACCT0031665","2,509,056","22,517.51","0","0","CON5019374","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","209,088","App Engine ITSM","Now Platform App Engine","CLI0202996"
"Toyota Financial Services","Toyota Financial Services","ACCT0006367","12,600","12,600","540,000","540,000","17613TN","","App Engine - Fulfiller   (USD)","300","3.5","App Engine Fulfiller","Now Platform App Engine","CLI0174807"
"Toyota do Brasil Ltda.","Toyota do Brasil Ltda.","ACCT0038814","15,090","2,816.49","24,912","4,800","CON1049271","","Now Platform App Engine Starter + - Platform User (BRL)","25","50.3","App Engine Starter","App Engine - Legacy","CLI0129413"
"TopDanmark EDB AS","TopDanmark EDB AS","ACCT0014374","80,004","80,004","180,000","180,000","BV-08514DEVO","","App Engine - Fulfiller   (USD)","100","66.67","App Engine Fulfiller","Now Platform App Engine","CLI0164048"
"Tokyo Gas i NET Corp","Tokyo Gas i NET Corp","ACCT0067345","1,425,600","12,957.81","0","0","CON1124023","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","118,800","App Engine ITSM","Now Platform App Engine","CLI0153761"
"Tokyo Gas i NET Corp","Tokyo Gas i NET Corp","ACCT0067345","3,761,604","33,906.53","0","0","CON5002541","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","313,467","App Engine ITSM","Now Platform App Engine","CLI0210690"
"Tokyo Electric Power Co Holdings Inc","Tokyo Electric Power Co Holdings Inc","ACCT0027272","3,024,000","27,257.88","3,024,000","25,200","CON0686807","","App Engine - Fulfiller   (JPY)","14","18,000","App Engine Fulfiller","Now Platform App Engine","CLI0204831"
"TIP Trailer Services","TIP Trailer Services","ACCT0137737","24,252","34,332.26","0","0","CON1179004","","Now Platform® App Engine for IT Service Management - Module (GBP)","1","2,021","App Engine ITSM","Now Platform App Engine","CLI0137231"
"TIM Participacoes SA","TIM Participacoes SA","ACCT0024303","505,395","97,304.5","2,713,500","675,000","CON1298743","","App Engine - Fulfiller   (BRL)","375","112.31","App Engine Fulfiller","Now Platform App Engine","CLI0178266"
"Tigre SA Tubos E Conexoes","Tigre SA Tubos E Conexoes","ACCT0032279","336,562.2","65,837.68","2,062,260","513,000","BR-34817PR","","App Engine - Fulfiller   (BRL)","285","98.41","App Engine Fulfiller","Now Platform App Engine","CLI0173043"
"Tiffany & Co","Tiffany & Co","ACCT0004633","3,645","4,399.52","8,010","9,000","BV-35312EO-Tiffany","","App Engine - Fulfiller   (EUR)","5","60.75","App Engine Fulfiller","Now Platform App Engine","CLI0197419"
"Thule Sweden AB","Thule Sweden AB","ACCT0015806","9,554.4","11,574.2","32,040","36,000","CON0589901","","App Engine - Fulfiller   (EUR)","20","39.81","App Engine Fulfiller","Now Platform App Engine","CLI0165768"
"Thomas Jefferson University","Thomas Jefferson University","ACCT0002932","104,544","104,544","110,880","110,880","CON1035348 ","","I2 Now Platform App Engine Professional - Platform User (USD)","350","24.89","App Engine Professional","App Engine - Legacy","CLI0110171"
"The Uniting Church In Australia Property Trust (NSW)","The Uniting Church In Australia Property Trust (NSW)","ACCT0020155","25,200","18,947.42","35,100","27,000","CON1109963","","App Engine - Fulfiller   (AUD)","15","140","App Engine Fulfiller","Now Platform App Engine","CLI0177748"
"The Salvation Army (Victoria) Property Trust","The Salvation Army (Victoria) Property Trust","ACCT0022705","42,458.4","31,828.69","78,840","54,000","CON0577510","","App Engine - Fulfiller   (AUD)","30","117.94","App Engine Fulfiller","Now Platform App Engine","CLI0170309"
"The RMR Group LLC","The RMR Group LLC","ACCT0005872","7,200","7,200","27,000","27,000","22309JG","","App Engine - Fulfiller   (USD)","15","40","App Engine Fulfiller","Now Platform App Engine","CLI0165420"
"The Navigator Co SA","The Navigator Co SA","ACCT0091554","8,013.6","9,441.62","0","0","ORD0605693-1","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","667.8","App Engine ITSM","Now Platform App Engine","CLI0191199"
"The National Ground Intelligence Center – Mission Operations Directorate","The National Ground Intelligence Center – Mission Operations Directorate","ACCT0121367","389,970","389,970","525,000","525,000","CON0556082","","Now Platform App Engine Standard - Platform User (USD)","1,750","18.57","App Engine Standard","App Engine - Legacy","CLI0195910"
"The Manufacturers Life Insurance Co","The Manufacturers Life Insurance Co","ACCT0000982","7,938","7,938","31,500","31,500","34412KM-ADDL","","Now Platform App Engine Standard - Platform User (USD)","105","6.3","App Engine Standard","App Engine - Legacy","CLI0098376"
"The Kantar Group Limited","The Kantar Group Limited","ACCT0065360","105,000","143,805.14","239,400","315,000","CON1193568","","App Engine - Fulfiller   (GBP)","175","50","App Engine Fulfiller","Now Platform App Engine","CLI0159544"
"The Huntington National Bank","The Huntington National Bank","ACCT0004066","226,545","226,545","0","0","31111MS","","Now Platform® App Engine for IT Service Management - Module (USD)","1","18,878.75","App Engine ITSM","Now Platform App Engine","CLI0207524"
"The Francis Crick Institute Ltd","The Francis Crick Institute Ltd","ACCT0023972","19,699.2","27,388.65","21,888","36,000","UAN0068667-1","","App Engine - Fulfiller   (GBP)","20","82.08","App Engine Fulfiller","Now Platform App Engine","CLI0159387"
"The Department of Families, Fairness and Housing – Family Safety Victoria","The Department of Families, Fairness and Housing – Family Safety Victoria","ACCT0075788","93,906","70,606.19","1,053,000","810,000","CON0085863","","App Engine - Fulfiller   (AUD)","450","17.39","App Engine Fulfiller","Now Platform App Engine","CLI0211603"
"The Dai-Ichi Frontier Life Insurance Co Ltd","The Dai-Ichi Frontier Life Insurance Co Ltd","ACCT0135387","2,595,600","23,294.2","3,708,000","30,900","CON1059981","","Now Platform App Engine Standard - Platform User (JPY)","103","2,100","App Engine Standard","App Engine - Legacy","CLI0097894"
"The Brooklyn Hospital Center","The Brooklyn Hospital Center","ACCT0058106","5,054.4","5,054.4","0","0","CON0658450","","Now Platform® App Engine for IT Service Management - Module (USD)","1","421.2","App Engine ITSM","Now Platform App Engine","CLI0185183"
"The Bank Of New York Mellon Corp","The Bank Of New York Mellon Corp","ACCT0016014","900,240","900,240","0","0","CON1058866","","Now Platform® App Engine for IT Service Management - Module (USD)","1","75,020","App Engine ITSM","Now Platform App Engine","CLI0172232"
"Thales Global Services SAS","Thales Global Services SAS","ACCT0020200","20,460","24,314.66","49,662","55,800","BV-33913RM-FR","","App Engine - Fulfiller   (EUR)","31","55","App Engine Fulfiller","Now Platform App Engine","CLI0193066"
"Texas Southern University","Texas Southern University","ACCT0010017","21,600","21,600","24,000","24,000","CON1213938","","Now Platform App Engine Professional - Platform User (USD)","20","90","App Engine Professional","App Engine - Legacy","CLI0137443"
"Teva Pharmaceutical Industries Ltd","Teva Pharmaceutical Industries Ltd","ACCT0031660","36,960","36,960","144,000","144,000","CON0076331","","App Engine - Fulfiller   (USD)","80","38.5","App Engine Fulfiller","Now Platform App Engine","CLI0175737"
